Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
125,0.105482,3.823669,0.197750,4.126901
126,0.133406,3.939545,0.106836,4.179787
127,0.092338,3.646901,0.105903,3.845142
128,0.088611,3.805415,0.089482,3.983508
129,0.088731,3.541037,0.088971,3.718739
130,0.089302,3.684762,0.121766,3.895830
131,0.090574,3.581936,0.089071,3.761581
132,0.085234,4.101383,0.124571,4.311188
133,0.094131,3.496661,0.088691,3.679483
134,0.088931,3.780898,0.093069,3.962898
135,0.088841,3.594379,0.092508,3.775728
136,0.089141,4.332128,0.089803,4.511072
137,0.088530,3.558821,0.091727,3.739078
138,0.091657,3.744558,0.088861,3.925076
139,0.088670,3.521229,0.097277,3.707176
140,0.087237,3.793222,0.095975,3.976434
141,0.088550,3.573730,0.088981,3.751261
142,0.088340,3.552769,0.088551,3.729660
143,0.088891,3.811687,0.155678,4.056256
144,0.120413,3.834089,0.120923,4.075425
145,0.090905,3.524104,0.092137,3.707146
146,0.091465,3.550035,0.090414,3.731914
147,0.092267,3.794134,0.118468,4.004869
148,0.088380,3.978027,0.107366,4.173773
149,0.088740,3.536729,0.089041,3.714510
150,0.088911,3.649155,0.091947,3.830013
151,0.091606,3.780487,0.096566,3.968659
152,0.088350,3.728427,0.091827,3.908604
153,0.088861,3.569422,0.088710,3.746993
154,0.088430,3.637323,0.088680,3.814433
155,0.088600,3.549213,0.088681,3.726494
156,0.088450,5.700528,0.098660,5.887638
157,0.091806,3.573630,0.088901,3.754337
158,0.088641,3.616141,0.089432,3.794214
159,0.088661,4.848899,0.213280,5.150840
160,0.133787,4.020270,0.096165,4.250222
161,0.091886,3.555616,0.088860,3.736362
162,0.088470,3.551247,0.088470,3.728187
163,0.088280,3.891251,0.092828,4.072359
164,0.088430,3.537040,0.092458,3.717928
165,0.105152,3.677029,0.094001,3.876182
166,0.091285,3.589370,0.089162,3.769817
167,0.086696,4.755370,0.139369,4.981435
168,0.091065,3.591063,0.091746,3.773874
169,0.089031,3.524095,0.088630,3.701756
170,0.119741,3.547720,0.088740,3.756201
171,0.088531,4.421990,0.092518,4.603039
172,0.092137,3.832016,0.098780,4.022933
173,0.088991,3.584110,0.088871,3.761972
174,0.088520,3.562528,0.088701,3.739749
175,0.088701,3.830022,0.093880,4.012603
176,0.088339,3.746973,0.096736,3.932048
177,0.089161,3.624958,0.092408,3.806527
178,0.091285,3.553211,0.089111,3.733607
179,0.091166,3.847556,0.089071,4.027793
180,0.088621,3.796578,0.090775,3.975974
181,0.088570,3.621752,0.089613,3.799935
182,0.089131,3.588158,0.089562,3.766851
183,0.221705,6.218666,0.095574,6.535945
184,0.091997,3.730020,0.094832,3.916849
185,0.088510,3.512502,0.096425,3.697437
186,0.088851,3.890868,0.139298,4.119017
187,0.100854,3.715383,0.090935,3.907172
188,0.088831,3.820184,0.095453,4.004468
189,0.089833,3.730099,0.110785,3.930717
190,0.089221,4.184214,0.093439,4.366874
191,0.092067,3.524765,0.086066,3.702898
192,0.088651,3.766360,0.099080,3.954091
193,0.088901,3.611041,0.090645,3.790587
194,0.088270,3.913333,0.100433,4.102036
195,0.088731,3.742645,0.092758,3.924134
196,0.092528,3.584360,0.255280,3.932168
197,0.114742,3.575313,0.095263,3.785318
198,0.088791,3.825924,0.089683,4.004398
199,0.088400,3.545686,0.088941,3.723027
200,0.088611,3.537229,0.092989,3.718829
201,0.091235,3.741463,0.093129,3.925827
202,0.088650,3.862495,0.104491,4.055636
203,0.088420,3.564342,0.088931,3.741693
204,0.088570,3.748756,0.089092,3.926418
205,0.088480,3.776160,0.098679,3.963319
206,0.089132,3.708439,0.088279,3.885850
207,0.088871,3.549413,0.092047,3.730331
208,0.091536,3.526169,0.116975,3.734680
209,0.088750,3.728648,0.090043,3.907441
210,0.085063,3.973116,0.131745,4.189924
211,0.091546,4.064003,0.089021,4.244570
212,0.090635,3.566215,0.089292,3.746142
213,0.088480,3.570253,0.089112,3.747845
214,0.089061,4.647554,0.101525,4.838140
215,0.091707,3.508364,0.088841,3.688912
216,0.088861,3.585984,0.088951,3.763796
217,0.088590,3.606713,0.088630,3.783933
218,0.088470,5.748099,0.138447,5.975016
219,0.093430,3.564302,0.088550,3.746282
220,0.088901,3.530187,0.092017,3.711105
221,0.091736,5.094723,0.125282,5.311741
222,0.090304,3.577046,0.104261,3.771611
223,0.088921,3.531529,0.088971,3.709421
224,0.088591,3.563439,0.088921,3.740951
225,0.162583,3.709279,0.117156,3.989018
226,0.093279,3.769106,0.099371,3.961756
227,0.088901,3.553632,0.089031,3.731564
228,0.088620,3.559373,0.088750,3.736743
229,0.088570,4.052390,0.092057,4.233017
230,0.088571,3.748676,0.092748,3.929995
231,0.101856,3.559242,0.089151,3.750249
232,0.121594,3.634758,0.108789,3.865141
233,0.088730,3.792631,0.097457,3.978818
234,0.089041,3.772532,0.121894,3.983467
235,0.094322,3.599800,0.097898,3.792020
236,0.088670,3.575724,0.094351,3.758745
237,0.092277,4.727728,0.095584,4.915589
238,0.091807,3.737585,0.093800,3.923192
239,0.089081,3.617444,0.088891,3.795416
240,0.090223,3.673201,0.088450,3.851874
241,0.088289,5.848172,0.093971,6.030432
242,0.091586,3.749668,0.094081,3.935335
243,0.088640,3.643985,0.089192,3.821817
244,0.093630,4.807010,0.124190,5.024830
245,0.087959,4.056588,0.089021,4.233568
246,0.088691,3.796699,0.092447,3.977837
247,0.088400,3.572328,0.089191,3.749919
248,0.088440,6.091960,0.101084,6.281484
249,0.109771,3.532641,0.320744,3.963156
250,0.144650,3.581294,0.118639,3.844583
251,0.088631,3.966343,0.114602,4.169576
