Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
125,0.088861,3.786528,0.101526,3.976915
126,0.097317,3.634487,0.093279,3.825083
127,0.088921,4.186858,0.092468,4.368247
128,0.088380,3.544925,0.089181,3.722486
129,0.088631,3.591503,0.092278,3.772412
130,0.091556,3.798111,0.103980,3.993647
131,0.135972,3.732114,0.090584,3.958670
132,0.152904,3.552980,0.093410,3.799294
133,0.088460,3.581835,0.088571,3.758866
134,0.088320,3.743486,0.096656,3.928462
135,0.236854,3.958188,0.113280,4.308322
136,0.094862,3.537410,0.088760,3.721032
137,0.088450,3.517261,0.089001,3.694712
138,0.088340,3.841263,0.275299,4.204902
139,0.112848,4.177220,0.167662,4.457730
140,0.099030,3.628836,0.106735,3.834601
141,0.089662,9.830167,0.151972,10.071801
142,0.107246,3.909906,0.117195,4.134347
143,0.089482,3.620679,0.092629,3.802790
144,0.088901,4.108668,0.094411,4.291980
145,0.588148,3.941389,0.123046,4.652583
146,0.089602,3.597015,0.089401,3.776018
147,0.088641,3.578869,0.090053,3.757563
148,0.088319,4.024976,0.140421,4.253716
149,0.096235,3.782611,0.115713,3.994559
150,0.158353,3.612165,0.092979,3.863497
151,0.089412,3.606744,0.089492,3.785648
152,0.089101,4.438831,0.176040,4.703972
153,0.092928,3.781099,0.112576,3.986603
154,0.092218,3.638293,0.090394,3.820905
155,0.089131,3.595201,0.092478,3.776810
156,0.091486,3.848186,0.132245,4.071917
157,0.107306,3.876802,0.110122,4.094230
158,0.152193,3.616171,0.089502,3.857866
159,0.088700,3.579090,0.089251,3.757041
160,0.088941,5.365632,0.094060,5.548633
161,0.115762,4.503619,0.110402,4.729783
162,0.088290,3.583358,0.092518,3.764166
163,0.091607,3.694692,0.119249,3.905548
164,0.113918,3.671970,0.093640,3.879528
165,0.088450,3.740781,0.091736,3.920967
166,0.088220,3.614458,0.088991,3.791669
167,0.088369,3.914806,0.098269,4.101444
168,0.096675,3.661569,0.088821,3.847065
169,0.102998,3.820525,0.089411,4.012934
170,0.088140,3.664514,0.090203,3.842857
171,0.156098,3.552120,0.092217,3.800435
172,0.186507,3.708910,0.100203,3.995620
173,0.092558,3.614448,0.092357,3.799363
174,0.091135,3.748355,0.094802,3.934292
175,0.090133,3.629928,0.088510,3.808571
176,0.088410,3.895549,0.094712,4.078671
177,0.089021,3.556426,0.114480,3.759927
178,0.089632,3.842477,0.101144,4.033253
179,0.090374,3.648814,0.090774,3.829962
180,0.085144,3.685052,0.129911,3.900107
181,0.092047,3.602314,0.092258,3.786619
182,0.091546,3.797239,0.096135,3.984920
183,0.098028,3.570363,0.089492,3.757883
184,0.088680,5.276171,0.137856,5.502707
185,0.124429,4.299796,0.091976,4.516201
186,0.091365,3.734058,0.093951,3.919374
187,0.088711,3.907179,0.184685,4.180575
188,0.172822,3.634508,0.089131,3.896461
189,0.103919,3.657792,0.088971,3.850682
190,0.088430,3.801717,0.097047,3.987194
191,0.088710,3.710112,0.102707,3.901529
192,0.178451,3.626022,0.092638,3.897111
193,0.091536,3.582566,0.088009,3.762111
194,0.088129,3.749527,0.089813,3.927469
195,0.088280,3.692626,0.051900,3.832806
196,0.122865,3.590554,0.089292,3.802711
197,0.090905,3.644175,0.092197,3.827277
198,0.091356,3.609018,0.088730,3.789104
199,0.088200,3.897400,0.143167,4.128767
200,0.116002,3.921850,0.130360,4.168212
201,0.124750,3.600781,0.088601,3.814132
202,0.088340,3.603256,0.092138,3.783734
203,0.091596,3.729339,0.093119,3.914054
204,0.426498,3.671579,0.088992,4.187069
205,0.194904,3.578559,0.088661,3.862124
206,0.087979,3.600060,0.085895,3.773934
207,0.088711,3.737774,0.464321,4.290806
208,0.207088,3.817390,0.092798,4.117276
209,0.091325,3.536278,0.088861,3.716464
210,0.088069,3.630690,0.089492,3.808251
211,0.088720,3.710734,0.107336,3.906790
212,0.097688,3.819803,0.090644,4.008135
213,0.088039,3.600331,0.092117,3.780487
214,0.091296,3.564211,0.091416,3.746923
215,0.088039,3.601844,0.160277,3.850160
216,0.129420,3.902351,0.095344,4.127115
217,0.089011,3.569372,0.089532,3.747915
218,0.088861,3.627052,0.092869,3.808782
219,0.088550,3.568239,0.088230,3.745019
220,0.126043,3.724799,0.111014,3.961856
221,0.088771,3.588908,0.093179,3.770858
222,0.091416,3.561226,0.099832,3.752474
223,0.088069,3.538743,0.091345,3.718157
224,0.088200,4.093949,0.116064,4.298213
225,0.093069,3.582848,0.089682,3.765599
226,0.088891,3.638023,0.092047,3.818961
227,0.092628,3.566425,0.088591,3.747644
228,0.090023,5.311741,0.105232,5.506996
229,0.088470,3.600471,0.089041,3.777982
230,0.088530,3.553040,0.088891,3.730461
231,0.088209,3.724710,0.130059,3.942978
232,0.100913,4.827291,0.102927,5.031131
233,0.090875,3.579991,0.093630,3.764496
234,0.089171,3.580443,0.086957,3.756571
235,0.086256,3.843027,0.116314,4.045597
236,0.086887,3.761601,0.089953,3.938441
237,0.088270,3.589570,0.092958,3.770798
238,0.089332,3.529234,0.096546,3.715112
239,0.091095,3.933512,0.129949,4.154556
240,0.089833,3.563751,0.089041,3.742625
241,0.088150,3.803832,0.090634,3.982616
242,0.088139,3.595351,0.088621,3.772111
243,0.088480,6.586741,0.135358,6.810579
244,0.098149,4.175606,0.153976,4.427731
245,0.106775,3.998876,0.106986,4.212637
246,0.092948,4.006752,0.175528,4.275228
247,0.123589,3.650615,0.101025,3.875229
248,0.091707,3.615921,0.139209,3.846837
249,0.100824,4.108979,0.241041,4.450844
250,0.138677,4.106886,0.133036,4.378599
251,0.100523,3.855922,0.092277,4.048722
252,0.091936,3.854730,0.103629,4.050295
253,0.089462,3.719790,0.140631,3.949883
254,0.100253,3.672149,0.089171,3.861573
255,0.088741,3.610340,0.089071,3.788152
256,0.088701,3.546487,0.273755,3.908943
257,0.100523,3.794915,0.142134,4.037572
258,0.095253,3.571135,0.089061,3.755449
259,0.088319,3.549674,0.088400,3.726393
260,0.088650,3.591905,0.088720,3.769275
261,0.088120,3.903143,0.145448,4.136711
262,0.110734,3.565414,0.092558,3.768706
263,0.091786,3.602505,0.088520,3.782811
264,0.088370,3.669985,0.088770,3.847125
265,0.095834,4.492004,0.152084,4.739922
266,0.092358,3.620309,0.089652,3.802319
267,0.088921,3.552880,0.091466,3.733267
268,0.088290,3.690624,0.088790,3.867704
269,0.087919,4.559002,0.220854,4.867775
270,0.142194,3.911150,0.098800,4.152144
271,0.088680,3.555545,0.092297,3.736522
272,0.091736,3.622403,0.088260,3.802399
273,0.088189,4.470723,0.162143,4.721055
274,0.091566,3.629407,0.089873,3.810846
275,0.106144,3.599940,0.090454,3.796538
276,0.089662,3.564251,0.091627,3.745540
277,0.091286,3.931807,0.110312,4.133405
278,0.112127,3.663301,0.108219,3.883647
279,0.093240,3.675926,0.089091,3.858257
280,0.088801,3.522090,0.088681,3.699572
281,0.105373,4.665618,0.104400,4.875391
282,0.099261,3.573869,0.101245,3.774375
283,0.091817,3.577858,0.088890,3.758565
284,0.088510,3.561636,0.089212,3.739358
285,0.088610,3.763645,0.089562,3.941817
286,0.088510,3.755309,0.106635,3.950454
287,0.094422,3.665085,0.091446,3.850953
288,0.091255,3.585372,0.087739,3.764366
289,0.101555,3.697708,0.089702,3.888965
290,0.086466,3.809383,0.095133,3.990982
291,0.087508,3.614929,0.089262,3.791699
292,0.088851,3.578639,0.088731,3.756221
293,0.235242,5.702902,0.094041,6.032185
294,0.091486,3.806947,0.094943,3.993376
295,0.088470,3.688110,0.090834,3.867414
296,0.088991,3.827207,0.107336,4.023534
297,0.088841,3.604839,0.088781,3.782461
298,0.089583,3.676978,0.104310,3.870871
299,0.088289,3.617604,0.093059,3.798952
300,0.095123,5.175146,0.127978,5.398247
301,0.090394,4.218649,0.089923,4.398966
302,0.088240,3.828910,0.096456,4.013606
303,0.088249,3.598177,0.089642,3.776068
304,0.088390,3.757813,0.092498,3.938701
305,0.091796,3.582787,0.088320,3.762903
306,0.088310,3.727755,0.092468,3.908533
307,0.088420,3.610239,0.093219,3.791878
308,0.088600,4.258785,0.110845,4.458230
309,0.089862,4.158584,0.092288,4.340734
310,0.092698,3.754117,0.092036,3.938851
311,0.088430,3.626661,0.089723,3.804814
312,0.088160,5.534429,0.092798,5.715387
313,0.088791,3.571425,0.088541,3.748757
314,0.088530,3.819893,0.100984,4.009407
315,0.088690,3.767241,0.120793,3.976724
316,0.092839,3.665847,0.089642,3.848328
317,0.088591,3.561726,0.088600,3.738917
318,0.088550,3.743205,0.089753,3.921508
319,0.088089,4.048220,0.120594,4.256903
320,0.090884,3.549974,0.091637,3.732495
321,0.091415,3.577067,0.086436,3.754918
322,0.088810,3.599510,0.091746,3.780066
323,0.088500,4.825715,0.148858,5.063073
324,0.096025,3.570233,0.088721,3.754979
325,0.088440,3.544183,0.088701,3.721324
326,0.088249,6.491839,0.114240,6.694328
327,0.088921,3.587767,0.089933,3.766621
328,0.095193,3.571275,0.088560,3.755028
329,0.088170,3.596713,0.088430,3.773313
330,0.088200,3.869678,0.191817,4.149695
331,0.155100,3.599078,0.095484,3.849662
332,0.091917,3.541067,0.088520,3.721504
333,0.088360,3.555465,0.090524,3.734349
334,0.088671,4.720953,0.188604,4.998228
335,0.099912,3.921308,0.135640,4.156860
336,0.089252,3.627262,0.088931,3.805445
337,0.088080,3.616261,0.092969,3.797310
338,0.091225,3.835754,0.105663,4.032642
339,0.261942,3.650749,0.093500,4.006191
340,0.088410,3.594659,0.088811,3.771880
341,0.088390,3.605701,0.088710,3.782801
342,0.094913,3.991852,0.130823,4.217588
343,0.092118,3.757993,0.105944,3.956055
344,0.092217,3.607905,0.088941,3.789063
345,0.087127,3.645498,0.089923,3.822548
346,0.088189,4.116192,0.137245,4.341626
347,0.104461,3.777351,0.096616,3.978428
348,0.088991,3.620389,0.092418,3.801798
349,0.091396,3.552378,0.088360,3.732134
350,0.088330,5.179936,0.121695,5.389961
351,0.091125,3.790887,0.094552,3.976564
352,0.154566,3.614058,0.088360,3.856984
353,0.088740,3.624066,0.089452,3.802258
354,0.088460,4.702297,0.112698,4.903455
355,0.131273,4.606044,0.097788,4.835105
356,0.094902,3.622814,0.088530,3.806246
357,0.088250,4.645037,0.156894,4.890181
358,0.090454,3.591915,0.091867,3.774236
359,0.091756,3.737935,0.108659,3.938350
360,0.089842,3.677560,0.088941,3.856343
361,0.088470,3.738817,0.104441,3.931728
362,0.088571,3.584019,0.088831,3.761421
363,0.088020,3.755208,0.099872,3.943100
364,0.088099,3.615830,0.089402,3.793331
365,0.090114,3.760667,0.121063,3.971844
366,0.137414,4.739292,0.096305,4.973011
367,0.092157,3.732124,0.106866,3.931147
368,0.088510,3.609138,0.088700,3.786348
369,0.088450,4.422159,0.121575,4.632184
370,0.090654,3.541668,0.093269,3.725591
371,0.092418,3.785336,0.098871,3.976625
372,0.088380,3.579020,0.089182,3.756582
373,0.089012,5.200587,0.096235,5.385834
374,0.091385,3.679093,0.089151,3.859629
375,0.088721,3.739568,0.099121,3.927410
376,0.088641,3.820342,0.127605,4.036588
377,0.108400,4.623257,0.092969,4.824626
378,0.091856,3.559392,0.088701,3.739949
379,0.088139,3.705123,0.100964,3.894226
380,0.088390,3.769807,0.171449,4.029646
381,0.121061,3.580855,0.088109,3.790025
382,0.085174,3.632483,0.089251,3.806908
383,0.088359,3.713719,0.087278,3.889356
384,0.085484,3.754978,0.134198,3.974660
385,0.091526,3.991673,0.106805,4.190004
386,0.091826,3.968006,0.137336,4.197168
387,0.096545,8.772341,0.149067,9.017953
388,0.139980,3.796338,0.092017,4.028335
389,0.083160,3.606663,0.085985,3.775808
390,0.085565,3.757894,0.090013,3.933472
391,0.085435,4.247363,0.127606,4.460404
392,0.091085,3.627733,0.126433,3.845251
393,0.097868,3.730812,0.091025,3.919705
394,0.088851,3.636099,0.089923,3.814873
395,0.087949,5.288424,0.145382,5.521755
396,0.093019,3.613897,0.111725,3.818641
397,0.088530,3.597606,0.162761,3.848897
398,0.136031,3.836236,0.100483,4.072750
399,0.088691,3.613576,0.111825,3.814092
400,0.091726,3.547950,0.088550,3.728226
401,0.088540,3.608216,0.089081,3.785837
402,0.088440,3.693740,0.184975,3.967155
403,0.134018,5.607861,0.104051,5.845930
404,0.089752,3.600211,0.091636,3.781599
405,0.091887,3.544433,0.088480,3.724800
406,0.088420,3.999147,0.336436,4.424003
407,0.156412,3.647722,0.093049,3.897183
408,0.090063,3.599158,0.088450,3.777671
409,0.088369,3.662561,0.089161,3.840091
410,0.088370,4.076144,0.150621,4.315135
411,0.091035,4.012223,0.116504,4.219762
412,0.091706,3.650998,0.089101,3.831805
413,0.088971,3.644675,0.104772,3.838418
414,0.088280,3.737033,0.095053,3.920366
415,0.091335,3.829221,0.106214,4.026770
416,0.092598,3.583038,0.088440,3.764076
417,0.088189,3.518333,0.088951,3.695473
418,0.088551,3.743455,0.093280,3.925286
419,0.088560,3.757092,0.097688,3.943340
