Iteration,Elapsed_ms
727,1.956671
728,1.954487
729,1.953295
730,2.080810
731,2.086962
732,1.984064
733,2.023479
734,2.024251
735,2.043248
736,1.995126
737,1.984144
738,2.431375
739,3.031399
740,2.236529
741,2.183538
742,2.217273
743,2.210119
744,2.272118
745,2.274683
746,2.083425
747,2.954358
748,2.047616
749,2.014152
750,1.959266
751,2.013331
752,2.002941
753,2.126387
754,2.553239
755,2.665946
756,1.993161
757,1.980768
758,2.028630
759,1.976389
760,1.993121
761,2.164451
762,2.238894
763,1.953796
764,1.972652
765,1.967963
766,1.975197
767,2.015454
768,1.971379
769,2.137939
770,2.217313
771,1.996918
772,2.008601
773,1.979526
774,1.982852
775,1.973935
776,1.974786
777,2.161536
778,2.032969
779,1.990577
780,2.023059
781,1.979084
782,2.059699
783,1.980237
784,1.954457
785,2.121117
786,2.065401
787,2.023039
788,1.955749
789,1.986419
790,1.988382
791,1.978222
792,2.082033
793,2.217403
794,2.102161
795,2.221410
796,2.216902
797,2.226481
798,2.216291
799,2.474175
800,2.171575
801,2.146576
802,2.022227
803,2.152508
804,2.182305
805,2.277448
806,2.330770
807,2.253612
808,2.310832
809,2.120226
810,2.220479
811,2.232703
812,2.206402
813,3.407010
814,2.031776
815,2.129143
816,2.115727
817,2.255726
818,2.217222
819,2.225759
820,3.073027
821,2.393142
822,2.276256
823,2.173197
824,2.188857
825,2.177506
826,2.236149
827,2.174781
828,2.163459
829,2.202244
830,2.239155
831,2.275383
832,2.258542
833,2.221982
834,2.299410
835,2.224867
836,2.235438
837,2.204418
838,2.149914
839,2.182927
840,2.327164
841,2.995147
842,2.225939
843,2.266116
844,2.240698
845,2.151307
846,2.160113
847,2.515034
848,2.624135
849,2.023380
850,1.983132
851,1.966060
852,2.018611
853,2.138752
854,1.991659
855,2.259345
856,2.204047
857,2.173598
858,2.170913
859,2.228484
860,2.254865
861,2.279522
862,2.135245
863,2.233714
864,2.195691
865,2.195360
866,2.227763
867,2.314900
868,2.082103
869,2.328024
870,2.031445
871,2.029071
872,2.021035
873,2.024431
874,2.003893
875,2.121348
876,2.190092
877,2.231931
878,2.175082
879,2.170512
880,2.211090
881,2.246810
882,2.165153
883,3.063598
884,2.007750
885,2.035592
886,2.000746
887,1.998653
888,1.988493
889,2.053027
890,2.014823
891,3.130859
892,1.969877
893,1.965398
894,1.970398
895,2.053607
896,1.992991
897,1.978904
898,2.235096
899,2.229196
900,2.273871
901,2.222443
902,2.220298
903,2.283941
904,2.222793
905,2.177446
906,2.191904
907,2.244826
908,2.211722
909,2.269903
910,2.253212
911,2.217122
912,2.140084
913,2.076161
914,2.108754
915,2.225228
916,2.302386
917,2.244124
918,2.223604
919,2.336100
920,2.262399
921,2.201863
922,2.158539
923,1.987902
924,1.993443
925,1.989795
926,2.348455
927,2.019362
928,1.990958
929,2.121258
930,2.043899
931,1.977482
932,2.020715
933,2.009122
934,2.569279
935,2.219707
936,2.250767
937,2.106179
938,2.206382
939,2.241880
940,2.218635
941,2.263321
942,2.211682
943,2.195711
944,2.198747
945,2.175183
946,2.239185
947,2.233263
948,2.184799
949,2.029741
950,2.062785
951,2.005265
952,2.201582
953,2.074109
954,2.162417
955,2.335709
956,2.309329
957,2.365798
958,2.463847
959,2.724460
960,2.124082
961,2.112312
962,2.170152
963,2.039130
964,2.119083
965,2.032718
966,2.230628
967,2.651377
968,2.093545
969,3.564423
970,2.246489
971,2.100528
972,2.168719
973,2.026877
974,2.121097
975,1.987090
976,2.164451
977,2.012489
978,1.992360
979,1.981059
980,1.986028
981,2.047075
982,2.217964
983,2.007509
984,2.043749
985,2.053517
986,1.985507
987,2.027558
988,1.986720
989,2.006086
990,2.182345
991,2.101580
992,2.139312
993,1.994334
994,1.995496
995,1.994935
996,2.014803
997,1.988012
998,2.060271
999,2.252831
