Epoch,Slope,Intercept
214,-1.177137,1.871182
215,-1.175122,1.867876
216,-1.173137,1.864619
217,-1.171182,1.861410
218,-1.169255,1.858247
219,-1.167357,1.855131
220,-1.165487,1.852060
221,-1.163643,1.849033
222,-1.161827,1.846050
223,-1.160037,1.843109
224,-1.158272,1.840209
225,-1.156533,1.837351
226,-1.154818,1.834533
227,-1.153128,1.831754
228,-1.151462,1.829014
229,-1.149819,1.826312
230,-1.148199,1.823647
231,-1.146602,1.821019
232,-1.145027,1.818426
233,-1.143473,1.815869
234,-1.141941,1.813346
235,-1.140431,1.810857
236,-1.138940,1.808402
237,-1.137470,1.805979
238,-1.136020,1.803589
239,-1.134590,1.801230
240,-1.133179,1.798902
241,-1.131787,1.796604
242,-1.130413,1.794337
243,-1.129058,1.792098
244,-1.127721,1.789889
245,-1.126401,1.787708
246,-1.125099,1.785555
247,-1.123813,1.783430
248,-1.122545,1.781331
249,-1.121293,1.779259
250,-1.120058,1.777213
251,-1.118838,1.775193
252,-1.117634,1.773198
253,-1.116446,1.771227
254,-1.115272,1.769281
255,-1.114114,1.767359
256,-1.112971,1.765460
257,-1.111842,1.763585
258,-1.110727,1.761733
259,-1.109626,1.759902
260,-1.108539,1.758094
261,-1.107466,1.756308
262,-1.106406,1.754543
263,-1.105359,1.752799
264,-1.104326,1.751076
265,-1.103305,1.749373
266,-1.102296,1.747690
267,-1.101300,1.746027
268,-1.100316,1.744383
269,-1.099344,1.742759
270,-1.098384,1.741153
271,-1.097436,1.739566
272,-1.096499,1.737997
273,-1.095573,1.736446
274,-1.094659,1.734913
275,-1.093755,1.733397
276,-1.092863,1.731898
277,-1.091980,1.730416
278,-1.091109,1.728951
279,-1.090247,1.727502
280,-1.089396,1.726070
281,-1.088555,1.724653
282,-1.087724,1.723252
283,-1.086903,1.721867
284,-1.086091,1.720496
285,-1.085288,1.719141
286,-1.084495,1.717800
287,-1.083711,1.716474
288,-1.082936,1.715163
289,-1.082170,1.713865
290,-1.081413,1.712582
291,-1.080665,1.711312
292,-1.079925,1.710056
293,-1.079194,1.708813
294,-1.078470,1.707584
295,-1.077756,1.706367
