Epoch,Weight1,Weight2,Bias
173,1.002299,0.773652,-1.597936
174,1.005749,0.778731,-1.603285
175,1.009191,0.783789,-1.608622
176,1.012624,0.788827,-1.613947
177,1.016049,0.793844,-1.619260
178,1.019465,0.798840,-1.624561
179,1.022873,0.803816,-1.629850
180,1.026273,0.808771,-1.635128
181,1.029665,0.813707,-1.640393
182,1.033048,0.818622,-1.645647
183,1.036424,0.823518,-1.650889
184,1.039791,0.828394,-1.656120
185,1.043151,0.833250,-1.661339
186,1.046502,0.838087,-1.666547
187,1.049846,0.842904,-1.671743
188,1.053181,0.847703,-1.676928
189,1.056509,0.852482,-1.682101
190,1.059829,0.857243,-1.687263
191,1.063142,0.861984,-1.692414
192,1.066446,0.866708,-1.697553
193,1.069744,0.871412,-1.702681
194,1.073033,0.876098,-1.707798
195,1.076315,0.880766,-1.712904
196,1.079590,0.885416,-1.717999
197,1.082857,0.890048,-1.723083
198,1.086116,0.894662,-1.728156
199,1.089369,0.899259,-1.733218
200,1.092614,0.903837,-1.738269
201,1.095851,0.908399,-1.743309
202,1.099082,0.912942,-1.748338
203,1.102305,0.917469,-1.753357
204,1.105521,0.921979,-1.758365
205,1.108731,0.926471,-1.763362
206,1.111933,0.930947,-1.768348
207,1.115128,0.935406,-1.773324
208,1.118316,0.939848,-1.778289
209,1.121497,0.944274,-1.783243
210,1.124671,0.948683,-1.788187
211,1.127839,0.953076,-1.793121
212,1.130999,0.957453,-1.798044
213,1.134153,0.961814,-1.802956
214,1.137301,0.966159,-1.807859
215,1.140441,0.970488,-1.812751
216,1.143575,0.974801,-1.817632
217,1.146702,0.979099,-1.822504
218,1.149823,0.983381,-1.827365
219,1.152937,0.987648,-1.832216
220,1.156045,0.991899,-1.837057
221,1.159146,0.996135,-1.841887
222,1.162241,1.000357,-1.846708
223,1.165330,1.004563,-1.851519
224,1.168412,1.008754,-1.856319
225,1.171488,1.012931,-1.861110
226,1.174558,1.017093,-1.865891
227,1.177621,1.021240,-1.870661
228,1.180678,1.025373,-1.875422
229,1.183729,1.029492,-1.880173
230,1.186774,1.033596,-1.884915
231,1.189813,1.037686,-1.889646
232,1.192846,1.041763,-1.894368
233,1.195873,1.045825,-1.899081
234,1.198893,1.049873,-1.903783
235,1.201908,1.053907,-1.908476
236,1.204917,1.057928,-1.913159
237,1.207920,1.061935,-1.917833
238,1.210917,1.065929,-1.922498
239,1.213909,1.069909,-1.927153
240,1.216894,1.073876,-1.931798
241,1.219874,1.077830,-1.936434
242,1.222848,1.081771,-1.941061
243,1.225816,1.085698,-1.945678
244,1.228779,1.089613,-1.950286
245,1.231736,1.093515,-1.954885
246,1.234687,1.097403,-1.959475
247,1.237633,1.101280,-1.964055
248,1.240573,1.105143,-1.968626
249,1.243508,1.108994,-1.973188
250,1.246437,1.112833,-1.977741
251,1.249361,1.116659,-1.982285
252,1.252279,1.120473,-1.986820
253,1.255192,1.124275,-1.991346
254,1.258099,1.128065,-1.995863
255,1.261001,1.131842,-2.000371
256,1.263898,1.135608,-2.004870
257,1.266789,1.139361,-2.009361
258,1.269676,1.143103,-2.013842
259,1.272556,1.146833,-2.018315
260,1.275432,1.150552,-2.022779
261,1.278302,1.154259,-2.027234
262,1.281168,1.157954,-2.031681
263,1.284028,1.161638,-2.036119
264,1.286883,1.165311,-2.040548
265,1.289732,1.168972,-2.044969
266,1.292577,1.172622,-2.049381
267,1.295417,1.176261,-2.053784
268,1.298251,1.179889,-2.058179
269,1.301081,1.183506,-2.062566
270,1.303905,1.187112,-2.066944
271,1.306725,1.190707,-2.071314
272,1.309540,1.194292,-2.075675
273,1.312349,1.197865,-2.080028
274,1.315154,1.201428,-2.084373
275,1.317954,1.204981,-2.088710
276,1.320749,1.208523,-2.093038
277,1.323539,1.212054,-2.097358
278,1.326325,1.215575,-2.101670
279,1.329105,1.219086,-2.105973
280,1.331881,1.222586,-2.110269
281,1.334652,1.226076,-2.114556
282,1.337418,1.229556,-2.118836
283,1.340180,1.233026,-2.123107
284,1.342936,1.236486,-2.127370
285,1.345688,1.239936,-2.131626
286,1.348436,1.243377,-2.135873
287,1.351179,1.246807,-2.140112
288,1.353917,1.250228,-2.144344
289,1.356651,1.253639,-2.148568
290,1.359380,1.257040,-2.152784
291,1.362104,1.260431,-2.156992
292,1.364824,1.263814,-2.161192
293,1.367539,1.267186,-2.165384
294,1.370250,1.270549,-2.169569
295,1.372956,1.273903,-2.173746
296,1.375658,1.277248,-2.177916
297,1.378356,1.280583,-2.182078
298,1.381049,1.283909,-2.186232
299,1.383737,1.287226,-2.190379
300,1.386421,1.290534,-2.194518
301,1.389101,1.293833,-2.198649
302,1.391776,1.297123,-2.202773
303,1.394447,1.300404,-2.206890
304,1.397114,1.303676,-2.210999
