Epoch,Slope,Intercept
216,0.987097,-0.134396
217,0.985939,-0.134028
218,0.984767,-0.133657
219,0.983583,-0.133283
220,0.982387,-0.132904
221,0.981178,-0.132523
222,0.979956,-0.132137
223,0.978721,-0.131749
224,0.977473,-0.131356
225,0.976213,-0.130961
226,0.974939,-0.130561
227,0.973652,-0.130158
228,0.972353,-0.129751
229,0.971039,-0.129341
230,0.969713,-0.128927
231,0.968373,-0.128509
232,0.967020,-0.128088
233,0.965653,-0.127663
234,0.964273,-0.127234
235,0.962879,-0.126801
236,0.961472,-0.126365
237,0.960051,-0.125924
238,0.958616,-0.125480
239,0.957167,-0.125032
240,0.955704,-0.124581
241,0.954227,-0.124125
242,0.952736,-0.123665
243,0.951231,-0.123202
244,0.949712,-0.122734
245,0.948179,-0.122262
246,0.946631,-0.121787
247,0.945069,-0.121307
248,0.943493,-0.120823
249,0.941902,-0.120336
250,0.940296,-0.119844
251,0.938676,-0.119348
252,0.937042,-0.118847
253,0.935392,-0.118343
254,0.933728,-0.117834
255,0.932049,-0.117321
256,0.930355,-0.116804
257,0.928647,-0.116283
258,0.926923,-0.115757
259,0.925184,-0.115227
260,0.923430,-0.114693
261,0.921661,-0.114154
262,0.919877,-0.113611
263,0.918077,-0.113063
264,0.916262,-0.112511
265,0.914432,-0.111954
266,0.912586,-0.111393
267,0.910725,-0.110828
268,0.908848,-0.110257
269,0.906956,-0.109683
270,0.905048,-0.109103
271,0.903124,-0.108519
272,0.901185,-0.107930
273,0.899229,-0.107337
274,0.897258,-0.106739
275,0.895271,-0.106136
276,0.893268,-0.105528
277,0.891248,-0.104916
278,0.889213,-0.104298
279,0.887162,-0.103676
280,0.885094,-0.103049
281,0.883010,-0.102417
282,0.880910,-0.101780
283,0.878793,-0.101138
284,0.876660,-0.100492
285,0.874511,-0.099840
286,0.872345,-0.099183
287,0.870163,-0.098521
288,0.867964,-0.097854
289,0.865748,-0.097182
290,0.863516,-0.096505
291,0.861267,-0.095822
292,0.859001,-0.095135
293,0.856718,-0.094442
294,0.854418,-0.093744
295,0.852102,-0.093040
296,0.849768,-0.092332
297,0.847418,-0.091618
298,0.845050,-0.090899
299,0.842665,-0.090174
300,0.840264,-0.089444
301,0.837844,-0.088708
302,0.835408,-0.087968
303,0.832955,-0.087221
304,0.830484,-0.086469
305,0.827995,-0.085712
306,0.825490,-0.084949
307,0.822966,-0.084181
308,0.820426,-0.083407
309,0.817867,-0.082627
310,0.815292,-0.081842
311,0.812698,-0.081051
312,0.810087,-0.080254
313,0.807458,-0.079452
314,0.804812,-0.078644
315,0.802147,-0.077830
316,0.799465,-0.077010
