Epoch,Slope,Intercept
219,-0.866272,1.607085
220,-0.867664,1.606889
221,-0.869041,1.606695
222,-0.870400,1.606502
223,-0.871744,1.606312
224,-0.873072,1.606123
225,-0.874384,1.605937
226,-0.875681,1.605752
227,-0.876962,1.605568
228,-0.878229,1.605387
229,-0.879480,1.605207
230,-0.880717,1.605028
231,-0.881940,1.604851
232,-0.883148,1.604676
233,-0.884343,1.604502
234,-0.885523,1.604329
235,-0.886690,1.604158
236,-0.887844,1.603988
237,-0.888984,1.603819
238,-0.890111,1.603652
239,-0.891225,1.603485
240,-0.892327,1.603320
241,-0.893416,1.603157
242,-0.894492,1.602994
243,-0.895556,1.602832
244,-0.896609,1.602672
245,-0.897649,1.602512
246,-0.898677,1.602353
247,-0.899694,1.602196
248,-0.900699,1.602039
249,-0.901694,1.601884
250,-0.902676,1.601729
251,-0.903648,1.601575
252,-0.904609,1.601422
253,-0.905560,1.601270
254,-0.906499,1.601118
255,-0.907428,1.600968
256,-0.908347,1.600818
257,-0.909256,1.600669
258,-0.910155,1.600520
259,-0.911043,1.600373
260,-0.911922,1.600226
261,-0.912791,1.600079
262,-0.913651,1.599934
263,-0.914501,1.599789
264,-0.915342,1.599644
265,-0.916174,1.599500
266,-0.916996,1.599357
267,-0.917810,1.599215
268,-0.918614,1.599073
269,-0.919410,1.598931
270,-0.920198,1.598790
271,-0.920977,1.598650
272,-0.921747,1.598510
273,-0.922509,1.598371
274,-0.923263,1.598232
275,-0.924008,1.598093
276,-0.924746,1.597955
277,-0.925476,1.597818
278,-0.926198,1.597681
279,-0.926912,1.597544
280,-0.927618,1.597408
281,-0.928317,1.597272
282,-0.929009,1.597137
283,-0.929693,1.597002
284,-0.930370,1.596867
285,-0.931040,1.596733
286,-0.931702,1.596599
287,-0.932358,1.596466
288,-0.933006,1.596332
289,-0.933648,1.596200
290,-0.934283,1.596067
291,-0.934912,1.595935
292,-0.935533,1.595804
293,-0.936149,1.595672
294,-0.936757,1.595541
295,-0.937360,1.595410
296,-0.937956,1.595280
297,-0.938546,1.595150
298,-0.939130,1.595020
299,-0.939707,1.594890
300,-0.940279,1.594761
301,-0.940845,1.594632
302,-0.941405,1.594503
303,-0.941959,1.594375
304,-0.942507,1.594247
305,-0.943050,1.594119
306,-0.943587,1.593991
307,-0.944118,1.593864
308,-0.944645,1.593737
309,-0.945165,1.593610
310,-0.945681,1.593483
311,-0.946191,1.593357
312,-0.946696,1.593231
313,-0.947195,1.593105
314,-0.947690,1.592979
315,-0.948179,1.592854
316,-0.948664,1.592729
317,-0.949144,1.592604
318,-0.949619,1.592479
319,-0.950088,1.592354
320,-0.950554,1.592230
321,-0.951014,1.592106
322,-0.951470,1.591982
323,-0.951921,1.591859
324,-0.952368,1.591735
325,-0.952810,1.591612
326,-0.953248,1.591489
327,-0.953681,1.591366
328,-0.954111,1.591244
329,-0.954535,1.591121
330,-0.954956,1.590999
331,-0.955372,1.590877
332,-0.955784,1.590756
333,-0.956192,1.590634
334,-0.956596,1.590513
335,-0.956996,1.590392
336,-0.957392,1.590271
337,-0.957784,1.590150
338,-0.958172,1.590029
339,-0.958557,1.589909
340,-0.958937,1.589789
341,-0.959314,1.589669
342,-0.959687,1.589549
343,-0.960057,1.589430
344,-0.960422,1.589310
345,-0.960784,1.589191
346,-0.961143,1.589072
347,-0.961498,1.588953
348,-0.961850,1.588834
349,-0.962198,1.588716
350,-0.962543,1.588598
351,-0.962884,1.588480
352,-0.963222,1.588362
353,-0.963557,1.588244
354,-0.963889,1.588127
355,-0.964217,1.588009
356,-0.964542,1.587892
357,-0.964864,1.587775
358,-0.965183,1.587658
359,-0.965499,1.587542
360,-0.965811,1.587425
361,-0.966121,1.587309
362,-0.966428,1.587193
363,-0.966731,1.587077
364,-0.967032,1.586962
365,-0.967330,1.586846
366,-0.967625,1.586731
367,-0.967918,1.586616
368,-0.968207,1.586501
369,-0.968494,1.586386
370,-0.968778,1.586272
371,-0.969059,1.586157
372,-0.969337,1.586043
373,-0.969613,1.585929
374,-0.969886,1.585815
375,-0.970157,1.585702
376,-0.970425,1.585588
377,-0.970691,1.585475
378,-0.970954,1.585362
379,-0.971214,1.585249
380,-0.971472,1.585136
381,-0.971728,1.585024
382,-0.971981,1.584911
383,-0.972232,1.584799
384,-0.972481,1.584687
385,-0.972727,1.584576
386,-0.972970,1.584464
387,-0.973212,1.584353
388,-0.973451,1.584241
389,-0.973688,1.584130
390,-0.973923,1.584019
391,-0.974156,1.583909
392,-0.974386,1.583798
393,-0.974614,1.583688
394,-0.974840,1.583578
395,-0.975064,1.583468
396,-0.975286,1.583358
397,-0.975506,1.583249
398,-0.975724,1.583139
399,-0.975940,1.583030
400,-0.976154,1.582921
401,-0.976366,1.582812
402,-0.976575,1.582704
403,-0.976783,1.582595
404,-0.976989,1.582487
405,-0.977193,1.582379
406,-0.977396,1.582271
407,-0.977596,1.582164
408,-0.977794,1.582056
409,-0.977991,1.581949
410,-0.978186,1.581842
411,-0.978379,1.581735
412,-0.978570,1.581628
413,-0.978760,1.581522
414,-0.978948,1.581415
415,-0.979134,1.581309
416,-0.979318,1.581203
417,-0.979501,1.581097
418,-0.979682,1.580992
419,-0.979861,1.580887
420,-0.980039,1.580781
421,-0.980215,1.580676
422,-0.980390,1.580572
423,-0.980563,1.580467
424,-0.980734,1.580363
425,-0.980904,1.580258
426,-0.981072,1.580154
427,-0.981239,1.580050
428,-0.981405,1.579947
429,-0.981568,1.579843
430,-0.981731,1.579740
431,-0.981891,1.579637
432,-0.982051,1.579534
433,-0.982209,1.579432
434,-0.982365,1.579329
435,-0.982520,1.579227
436,-0.982674,1.579125
437,-0.982827,1.579023
438,-0.982978,1.578921
439,-0.983127,1.578819
440,-0.983276,1.578718
441,-0.983423,1.578617
442,-0.983568,1.578516
443,-0.983713,1.578415
444,-0.983856,1.578315
445,-0.983997,1.578214
446,-0.984138,1.578114
447,-0.984277,1.578014
448,-0.984415,1.577915
449,-0.984552,1.577815
450,-0.984688,1.577716
451,-0.984822,1.577616
452,-0.984955,1.577517
453,-0.985087,1.577419
454,-0.985218,1.577320
455,-0.985348,1.577222
456,-0.985477,1.577123
457,-0.985604,1.577025
458,-0.985730,1.576928
459,-0.985856,1.576830
460,-0.985980,1.576733
461,-0.986103,1.576635
462,-0.986225,1.576538
463,-0.986346,1.576441
464,-0.986465,1.576345
465,-0.986584,1.576248
466,-0.986702,1.576152
467,-0.986819,1.576056
468,-0.986934,1.575960
469,-0.987049,1.575864
470,-0.987163,1.575769
471,-0.987275,1.575674
472,-0.987387,1.575579
473,-0.987498,1.575484
474,-0.987607,1.575389
475,-0.987716,1.575294
476,-0.987824,1.575200
477,-0.987931,1.575106
478,-0.988037,1.575012
479,-0.988142,1.574918
480,-0.988246,1.574825
481,-0.988349,1.574731
482,-0.988452,1.574638
483,-0.988553,1.574545
484,-0.988654,1.574453
485,-0.988754,1.574360
486,-0.988852,1.574268
487,-0.988951,1.574175
488,-0.989048,1.574083
489,-0.989144,1.573992
490,-0.989240,1.573900
491,-0.989334,1.573809
