Epoch,Weight1,Weight2,Bias
170,-0.733541,-0.950758,1.541058
171,-0.738806,-0.954365,1.546516
172,-0.744049,-0.957962,1.551962
173,-0.749269,-0.961550,1.557397
174,-0.754467,-0.965128,1.562820
175,-0.759642,-0.968696,1.568231
176,-0.764796,-0.972254,1.573631
177,-0.769927,-0.975803,1.579019
178,-0.775037,-0.979342,1.584395
179,-0.780126,-0.982872,1.589760
180,-0.785193,-0.986393,1.595114
181,-0.790238,-0.989904,1.600456
182,-0.795263,-0.993406,1.605786
183,-0.800266,-0.996899,1.611106
184,-0.805249,-1.000383,1.616413
185,-0.810212,-1.003858,1.621710
186,-0.815153,-1.007323,1.626995
187,-0.820075,-1.010780,1.632269
188,-0.824976,-1.014229,1.637531
189,-0.829857,-1.017668,1.642782
190,-0.834719,-1.021099,1.648022
191,-0.839560,-1.024521,1.653251
192,-0.844383,-1.027934,1.658468
193,-0.849185,-1.031339,1.663675
194,-0.853969,-1.034736,1.668870
195,-0.858733,-1.038124,1.674054
196,-0.863478,-1.041504,1.679227
197,-0.868205,-1.044875,1.684389
198,-0.872912,-1.048239,1.689540
199,-0.877601,-1.051594,1.694680
200,-0.882272,-1.054941,1.699810
201,-0.886924,-1.058280,1.704928
202,-0.891559,-1.061611,1.710035
203,-0.896175,-1.064934,1.715132
204,-0.900773,-1.068249,1.720217
205,-0.905353,-1.071557,1.725292
206,-0.909916,-1.074856,1.730356
207,-0.914461,-1.078148,1.735410
208,-0.918989,-1.081433,1.740452
209,-0.923500,-1.084709,1.745484
210,-0.927994,-1.087978,1.750505
211,-0.932470,-1.091240,1.755516
212,-0.936930,-1.094494,1.760516
213,-0.941373,-1.097741,1.765506
214,-0.945799,-1.100980,1.770485
215,-0.950209,-1.104212,1.775453
216,-0.954602,-1.107437,1.780412
217,-0.958979,-1.110654,1.785359
218,-0.963340,-1.113865,1.790297
219,-0.967685,-1.117068,1.795224
220,-0.972014,-1.120264,1.800140
221,-0.976327,-1.123453,1.805047
222,-0.980624,-1.126636,1.809943
223,-0.984906,-1.129811,1.814829
224,-0.989172,-1.132979,1.819704
225,-0.993423,-1.136141,1.824570
226,-0.997659,-1.139295,1.829425
227,-1.001879,-1.142443,1.834270
228,-1.006085,-1.145584,1.839106
229,-1.010276,-1.148719,1.843931
230,-1.014451,-1.151847,1.848746
231,-1.018612,-1.154968,1.853551
232,-1.022759,-1.158083,1.858347
233,-1.026891,-1.161191,1.863132
234,-1.031008,-1.164292,1.867908
235,-1.035111,-1.167388,1.872674
236,-1.039200,-1.170476,1.877430
237,-1.043275,-1.173559,1.882176
238,-1.047336,-1.176635,1.886912
239,-1.051383,-1.179705,1.891639
240,-1.055416,-1.182768,1.896356
241,-1.059435,-1.185825,1.901064
242,-1.063441,-1.188877,1.905762
243,-1.067433,-1.191921,1.910450
244,-1.071412,-1.194960,1.915129
245,-1.075377,-1.197993,1.919798
246,-1.079329,-1.201020,1.924458
247,-1.083268,-1.204040,1.929109
248,-1.087194,-1.207055,1.933750
249,-1.091107,-1.210064,1.938381
250,-1.095007,-1.213067,1.943004
251,-1.098894,-1.216064,1.947617
252,-1.102768,-1.219055,1.952221
253,-1.106630,-1.222040,1.956816
254,-1.110479,-1.225019,1.961401
255,-1.114316,-1.227993,1.965977
256,-1.118140,-1.230961,1.970544
257,-1.121952,-1.233923,1.975103
258,-1.125752,-1.236880,1.979652
259,-1.129540,-1.239831,1.984192
260,-1.133315,-1.242776,1.988723
261,-1.137079,-1.245716,1.993245
262,-1.140831,-1.248650,1.997758
263,-1.144570,-1.251579,2.002262
264,-1.148299,-1.254502,2.006757
265,-1.152015,-1.257420,2.011244
266,-1.155720,-1.260332,2.015721
267,-1.159413,-1.263239,2.020190
268,-1.163095,-1.266140,2.024651
269,-1.166765,-1.269037,2.029102
270,-1.170425,-1.271927,2.033545
271,-1.174073,-1.274813,2.037979
272,-1.177709,-1.277693,2.042405
273,-1.181335,-1.280568,2.046822
274,-1.184950,-1.283437,2.051230
275,-1.188554,-1.286302,2.055630
276,-1.192147,-1.289161,2.060022
277,-1.195729,-1.292015,2.064405
278,-1.199300,-1.294864,2.068780
279,-1.202861,-1.297708,2.073146
280,-1.206411,-1.300547,2.077504
281,-1.209951,-1.303381,2.081853
282,-1.213480,-1.306209,2.086194
283,-1.216999,-1.309033,2.090527
284,-1.220507,-1.311851,2.094852
285,-1.224005,-1.314665,2.099169
286,-1.227493,-1.317474,2.103477
287,-1.230971,-1.320277,2.107777
288,-1.234439,-1.323076,2.112070
289,-1.237896,-1.325870,2.116354
290,-1.241344,-1.328659,2.120630
291,-1.244782,-1.331444,2.124898
292,-1.248210,-1.334223,2.129158
293,-1.251628,-1.336997,2.133410
294,-1.255037,-1.339767,2.137654
295,-1.258436,-1.342532,2.141890
296,-1.261825,-1.345293,2.146118
297,-1.265205,-1.348048,2.150339
298,-1.268575,-1.350799,2.154551
299,-1.271936,-1.353545,2.158756
300,-1.275288,-1.356287,2.162953
301,-1.278630,-1.359024,2.167142
302,-1.281963,-1.361756,2.171324
303,-1.285287,-1.364483,2.175498
304,-1.288602,-1.367206,2.179664
305,-1.291907,-1.369925,2.183823
306,-1.295204,-1.372639,2.187974
307,-1.298492,-1.375348,2.192118
308,-1.301770,-1.378053,2.196254
309,-1.305040,-1.380753,2.200382
310,-1.308301,-1.383449,2.204503
311,-1.311553,-1.386141,2.208617
312,-1.314797,-1.388828,2.212723
313,-1.318032,-1.391510,2.216822
314,-1.321258,-1.394188,2.220913
315,-1.324476,-1.396862,2.224997
316,-1.327685,-1.399531,2.229074
317,-1.330886,-1.402196,2.233143
318,-1.334078,-1.404857,2.237205
319,-1.337262,-1.407513,2.241260
320,-1.340438,-1.410165,2.245307
321,-1.343605,-1.412813,2.249348
322,-1.346764,-1.415456,2.253381
323,-1.349915,-1.418095,2.257407
324,-1.353058,-1.420730,2.261426
325,-1.356193,-1.423361,2.265438
326,-1.359320,-1.425987,2.269443
327,-1.362438,-1.428609,2.273441
328,-1.365549,-1.431227,2.277432
329,-1.368652,-1.433841,2.281416
330,-1.371747,-1.436451,2.285393
331,-1.374834,-1.439057,2.289362
332,-1.377914,-1.441658,2.293326
