Epoch,Weight1,Weight2,Bias
160,-1.097477,-1.403805,0.015385
161,-1.102858,-1.407593,0.019161
162,-1.108224,-1.411376,0.022928
163,-1.113576,-1.415153,0.026686
164,-1.118912,-1.418925,0.030434
165,-1.124235,-1.422692,0.034173
166,-1.129542,-1.426454,0.037903
167,-1.134836,-1.430210,0.041624
168,-1.140115,-1.433962,0.045334
169,-1.145379,-1.437708,0.049036
170,-1.150630,-1.441450,0.052727
171,-1.155867,-1.445186,0.056409
172,-1.161089,-1.448917,0.060080
173,-1.166298,-1.452644,0.063742
174,-1.171493,-1.456365,0.067394
175,-1.176675,-1.460082,0.071035
176,-1.181843,-1.463794,0.074667
177,-1.186997,-1.467500,0.078288
178,-1.192138,-1.471202,0.081899
179,-1.197265,-1.474900,0.085499
180,-1.202379,-1.478592,0.089090
181,-1.207480,-1.482280,0.092670
182,-1.212567,-1.485962,0.096239
183,-1.217642,-1.489640,0.099798
184,-1.222703,-1.493314,0.103346
185,-1.227752,-1.496982,0.106884
186,-1.232788,-1.500646,0.110411
187,-1.237810,-1.504305,0.113928
188,-1.242821,-1.507960,0.117434
189,-1.247818,-1.511610,0.120929
190,-1.252803,-1.515255,0.124414
191,-1.257775,-1.518896,0.127888
192,-1.262734,-1.522532,0.131351
193,-1.267681,-1.526163,0.134804
194,-1.272616,-1.529790,0.138246
195,-1.277538,-1.533412,0.141677
196,-1.282448,-1.537029,0.145097
197,-1.287346,-1.540642,0.148507
198,-1.292232,-1.544251,0.151906
199,-1.297105,-1.547855,0.155294
200,-1.301967,-1.551454,0.158671
201,-1.306816,-1.555048,0.162038
202,-1.311654,-1.558639,0.165394
203,-1.316479,-1.562224,0.168739
204,-1.321293,-1.565805,0.172073
205,-1.326095,-1.569382,0.175397
206,-1.330885,-1.572954,0.178710
207,-1.335663,-1.576521,0.182012
208,-1.340430,-1.580084,0.185303
209,-1.345185,-1.583643,0.188584
210,-1.349928,-1.587197,0.191854
211,-1.354660,-1.590746,0.195114
212,-1.359381,-1.594291,0.198363
213,-1.364090,-1.597832,0.201601
214,-1.368788,-1.601368,0.204829
215,-1.373474,-1.604899,0.208046
216,-1.378149,-1.608426,0.211253
217,-1.382813,-1.611949,0.214449
218,-1.387465,-1.615467,0.217635
219,-1.392107,-1.618980,0.220810
220,-1.396737,-1.622489,0.223974
221,-1.401356,-1.625994,0.227129
