Epoch,Slope,Intercept
205,-1.175106,0.147982
206,-1.173606,0.149834
207,-1.172123,0.151667
208,-1.170656,0.153480
209,-1.169206,0.155276
210,-1.167773,0.157052
211,-1.166355,0.158810
212,-1.164953,0.160551
213,-1.163567,0.162273
214,-1.162197,0.163979
215,-1.160842,0.165666
216,-1.159501,0.167337
217,-1.158176,0.168991
218,-1.156865,0.170628
219,-1.155568,0.172249
220,-1.154285,0.173854
221,-1.153017,0.175443
222,-1.151762,0.177016
223,-1.150521,0.178573
224,-1.149293,0.180115
225,-1.148078,0.181642
226,-1.146877,0.183154
227,-1.145688,0.184651
228,-1.144512,0.186133
229,-1.143348,0.187601
230,-1.142197,0.189055
231,-1.141058,0.190495
232,-1.139931,0.191921
233,-1.138816,0.193333
234,-1.137712,0.194731
235,-1.136620,0.196117
236,-1.135540,0.197489
237,-1.134470,0.198848
238,-1.133412,0.200194
239,-1.132365,0.201528
240,-1.131328,0.202848
241,-1.130302,0.204157
242,-1.129287,0.205453
243,-1.128282,0.206738
244,-1.127287,0.208010
245,-1.126302,0.209270
246,-1.125327,0.210519
247,-1.124363,0.211757
248,-1.123408,0.212982
249,-1.122462,0.214197
250,-1.121526,0.215401
251,-1.120599,0.216594
252,-1.119682,0.217775
253,-1.118774,0.218947
254,-1.117874,0.220107
255,-1.116984,0.221257
256,-1.116103,0.222397
257,-1.115230,0.223527
258,-1.114366,0.224647
259,-1.113510,0.225756
260,-1.112662,0.226856
261,-1.111823,0.227946
262,-1.110992,0.229027
263,-1.110169,0.230098
264,-1.109354,0.231160
265,-1.108547,0.232212
266,-1.107748,0.233255
267,-1.106956,0.234290
268,-1.106172,0.235315
269,-1.105396,0.236331
270,-1.104627,0.237339
271,-1.103865,0.238338
272,-1.103111,0.239329
273,-1.102363,0.240311
274,-1.101623,0.241285
275,-1.100890,0.242251
276,-1.100163,0.243208
277,-1.099444,0.244158
278,-1.098731,0.245099
279,-1.098024,0.246033
280,-1.097325,0.246958
281,-1.096632,0.247877
282,-1.095945,0.248787
283,-1.095265,0.249690
284,-1.094591,0.250586
285,-1.093923,0.251474
286,-1.093261,0.252355
287,-1.092606,0.253229
288,-1.091956,0.254096
289,-1.091313,0.254955
290,-1.090675,0.255808
291,-1.090043,0.256654
292,-1.089417,0.257493
293,-1.088796,0.258325
294,-1.088181,0.259151
295,-1.087572,0.259970
296,-1.086968,0.260783
297,-1.086369,0.261589
298,-1.085776,0.262389
299,-1.085188,0.263183
300,-1.084606,0.263970
301,-1.084028,0.264752
302,-1.083456,0.265527
303,-1.082889,0.266296
304,-1.082327,0.267059
305,-1.081770,0.267817
306,-1.081217,0.268568
307,-1.080670,0.269314
308,-1.080127,0.270054
309,-1.079589,0.270788
310,-1.079056,0.271517
311,-1.078528,0.272241
312,-1.078004,0.272959
313,-1.077484,0.273671
314,-1.076969,0.274378
315,-1.076459,0.275080
316,-1.075953,0.275777
317,-1.075451,0.276468
318,-1.074954,0.277154
319,-1.074461,0.277836
320,-1.073972,0.278512
321,-1.073487,0.279183
322,-1.073006,0.279850
323,-1.072530,0.280511
324,-1.072058,0.281168
325,-1.071589,0.281820
326,-1.071125,0.282467
327,-1.070664,0.283110
328,-1.070207,0.283747
329,-1.069754,0.284381
330,-1.069305,0.285010
331,-1.068860,0.285634
332,-1.068419,0.286254
333,-1.067981,0.286869
334,-1.067546,0.287481
335,-1.067116,0.288088
336,-1.066689,0.288690
337,-1.066265,0.289289
338,-1.065845,0.289883
339,-1.065429,0.290473
340,-1.065015,0.291059
341,-1.064606,0.291641
342,-1.064199,0.292219
343,-1.063796,0.292793
344,-1.063396,0.293363
345,-1.063000,0.293929
346,-1.062607,0.294491
347,-1.062217,0.295050
348,-1.061830,0.295605
349,-1.061446,0.296156
350,-1.061065,0.296703
351,-1.060687,0.297247
352,-1.060313,0.297786
353,-1.059941,0.298323
354,-1.059573,0.298856
355,-1.059207,0.299385
356,-1.058844,0.299911
357,-1.058484,0.300433
358,-1.058127,0.300952
359,-1.057773,0.301467
360,-1.057422,0.301979
361,-1.057073,0.302488
362,-1.056727,0.302994
363,-1.056384,0.303496
364,-1.056044,0.303995
365,-1.055706,0.304491
366,-1.055371,0.304983
367,-1.055038,0.305472
368,-1.054709,0.305959
369,-1.054381,0.306442
370,-1.054057,0.306922
371,-1.053734,0.307399
372,-1.053415,0.307873
373,-1.053097,0.308344
374,-1.052783,0.308812
375,-1.052470,0.309278
376,-1.052160,0.309740
377,-1.051853,0.310199
378,-1.051547,0.310656
379,-1.051244,0.311110
380,-1.050944,0.311561
381,-1.050646,0.312009
382,-1.050350,0.312454
383,-1.050056,0.312897
384,-1.049764,0.313337
385,-1.049475,0.313775
386,-1.049188,0.314209
387,-1.048903,0.314641
388,-1.048620,0.315071
389,-1.048339,0.315498
390,-1.048061,0.315922
391,-1.047784,0.316344
392,-1.047510,0.316763
393,-1.047237,0.317180
394,-1.046967,0.317594
395,-1.046699,0.318006
396,-1.046432,0.318416
397,-1.046168,0.318823
398,-1.045906,0.319227
399,-1.045645,0.319630
400,-1.045387,0.320030
401,-1.045130,0.320427
402,-1.044875,0.320823
403,-1.044622,0.321216
404,-1.044371,0.321606
405,-1.044122,0.321995
406,-1.043875,0.322381
407,-1.043629,0.322765
408,-1.043385,0.323147
409,-1.043143,0.323527
410,-1.042903,0.323905
411,-1.042665,0.324280
412,-1.042428,0.324653
413,-1.042193,0.325025
414,-1.041960,0.325394
415,-1.041728,0.325761
416,-1.041498,0.326126
417,-1.041270,0.326489
418,-1.041043,0.326850
419,-1.040818,0.327209
420,-1.040594,0.327566
421,-1.040372,0.327921
422,-1.040152,0.328274
423,-1.039933,0.328625
424,-1.039716,0.328975
425,-1.039500,0.329322
426,-1.039286,0.329667
427,-1.039074,0.330011
428,-1.038862,0.330353
429,-1.038653,0.330693
430,-1.038445,0.331031
431,-1.038238,0.331367
432,-1.038033,0.331702
433,-1.037829,0.332034
434,-1.037626,0.332365
435,-1.037425,0.332694
436,-1.037226,0.333022
437,-1.037027,0.333347
438,-1.036831,0.333671
439,-1.036635,0.333994
440,-1.036441,0.334314
441,-1.036248,0.334633
442,-1.036057,0.334951
443,-1.035867,0.335266
444,-1.035678,0.335580
445,-1.035490,0.335893
446,-1.035304,0.336203
447,-1.035119,0.336512
448,-1.034935,0.336820
449,-1.034753,0.337126
450,-1.034572,0.337431
451,-1.034392,0.337733
452,-1.034213,0.338035
453,-1.034035,0.338335
454,-1.033859,0.338633
455,-1.033684,0.338930
456,-1.033510,0.339225
457,-1.033337,0.339519
458,-1.033165,0.339811
459,-1.032995,0.340102
460,-1.032826,0.340392
461,-1.032657,0.340680
462,-1.032490,0.340966
463,-1.032324,0.341252
464,-1.032159,0.341535
465,-1.031996,0.341818
466,-1.031833,0.342099
467,-1.031671,0.342378
468,-1.031511,0.342657
469,-1.031351,0.342934
470,-1.031193,0.343209
471,-1.031035,0.343483
472,-1.030879,0.343756
473,-1.030724,0.344028
474,-1.030569,0.344298
475,-1.030416,0.344567
476,-1.030264,0.344835
477,-1.030113,0.345101
478,-1.029962,0.345367
479,-1.029813,0.345630
480,-1.029665,0.345893
481,-1.029517,0.346155
482,-1.029371,0.346415
483,-1.029225,0.346674
484,-1.029081,0.346932
485,-1.028937,0.347188
486,-1.028794,0.347443
487,-1.028653,0.347698
488,-1.028512,0.347951
489,-1.028372,0.348202
490,-1.028233,0.348453
491,-1.028094,0.348703
492,-1.027957,0.348951
493,-1.027821,0.349198
494,-1.027685,0.349444
495,-1.027550,0.349689
496,-1.027417,0.349933
497,-1.027284,0.350176
498,-1.027151,0.350417
499,-1.027020,0.350658
500,-1.026890,0.350897
501,-1.026760,0.351136
502,-1.026631,0.351373
503,-1.026503,0.351609
504,-1.026376,0.351844
505,-1.026250,0.352078
506,-1.026124,0.352312
507,-1.025999,0.352544
508,-1.025875,0.352775
509,-1.025752,0.353005
510,-1.025629,0.353234
511,-1.025507,0.353462
512,-1.025386,0.353689
513,-1.025266,0.353914
514,-1.025147,0.354139
515,-1.025028,0.354363
516,-1.024910,0.354586
517,-1.024792,0.354809
518,-1.024676,0.355030
519,-1.024560,0.355250
520,-1.024445,0.355469
521,-1.024330,0.355687
522,-1.024216,0.355905
523,-1.024103,0.356121
524,-1.023991,0.356336
525,-1.023879,0.356551
526,-1.023768,0.356765
527,-1.023658,0.356977
528,-1.023548,0.357189
529,-1.023439,0.357400
530,-1.023331,0.357610
531,-1.023223,0.357819
532,-1.023116,0.358027
533,-1.023010,0.358235
534,-1.022904,0.358441
535,-1.022799,0.358647
536,-1.022694,0.358852
537,-1.022590,0.359056
538,-1.022487,0.359259
539,-1.022384,0.359461
540,-1.022282,0.359662
541,-1.022181,0.359863
542,-1.022080,0.360063
543,-1.021980,0.360262
544,-1.021880,0.360460
545,-1.021781,0.360657
546,-1.021683,0.360854
547,-1.021585,0.361050
548,-1.021488,0.361244
549,-1.021391,0.361439
550,-1.021295,0.361632
551,-1.021199,0.361825
552,-1.021104,0.362016
553,-1.021010,0.362207
554,-1.020916,0.362398
555,-1.020822,0.362587
556,-1.020730,0.362776
557,-1.020637,0.362964
558,-1.020546,0.363151
559,-1.020454,0.363338
560,-1.020364,0.363523
561,-1.020274,0.363708
562,-1.020184,0.363893
563,-1.020095,0.364076
564,-1.020006,0.364259
565,-1.019918,0.364441
566,-1.019831,0.364623
567,-1.019744,0.364803
568,-1.019657,0.364984
569,-1.019571,0.365163
570,-1.019485,0.365341
571,-1.019400,0.365519
572,-1.019316,0.365697
573,-1.019231,0.365873
574,-1.019148,0.366049
575,-1.019065,0.366224
576,-1.018982,0.366399
577,-1.018900,0.366573
578,-1.018818,0.366746
579,-1.018737,0.366918
580,-1.018656,0.367090
581,-1.018575,0.367262
582,-1.018495,0.367432
583,-1.018416,0.367602
584,-1.018337,0.367771
585,-1.018258,0.367940
586,-1.018180,0.368108
587,-1.018102,0.368275
588,-1.018025,0.368442
589,-1.017948,0.368608
590,-1.017872,0.368774
591,-1.017796,0.368939
592,-1.017720,0.369103
593,-1.017645,0.369267
594,-1.017570,0.369430
595,-1.017496,0.369592
596,-1.017422,0.369754
597,-1.017349,0.369916
598,-1.017276,0.370076
599,-1.017203,0.370236
600,-1.017131,0.370396
601,-1.017059,0.370555
602,-1.016987,0.370713
603,-1.016916,0.370871
604,-1.016845,0.371028
605,-1.016775,0.371185
606,-1.016705,0.371341
607,-1.016636,0.371497
608,-1.016566,0.371652
609,-1.016498,0.371806
610,-1.016429,0.371960
611,-1.016361,0.372113
612,-1.016293,0.372266
613,-1.016226,0.372418
614,-1.016159,0.372570
615,-1.016092,0.372721
616,-1.016026,0.372872
617,-1.015960,0.373022
618,-1.015895,0.373171
619,-1.015830,0.373320
620,-1.015765,0.373469
621,-1.015700,0.373617
622,-1.015636,0.373764
623,-1.015572,0.373911
624,-1.015509,0.374057
625,-1.015446,0.374203
626,-1.015383,0.374349
627,-1.015321,0.374494
628,-1.015258,0.374638
629,-1.015197,0.374782
630,-1.015135,0.374925
631,-1.015074,0.375068
632,-1.015013,0.375211
633,-1.014953,0.375352
634,-1.014893,0.375494
635,-1.014833,0.375635
636,-1.014773,0.375775
637,-1.014714,0.375915
638,-1.014655,0.376055
639,-1.014597,0.376194
640,-1.014538,0.376332
641,-1.014480,0.376471
642,-1.014423,0.376608
643,-1.014365,0.376745
644,-1.014308,0.376882
645,-1.014251,0.377018
646,-1.014195,0.377154
647,-1.014139,0.377289
648,-1.014083,0.377424
649,-1.014027,0.377559
650,-1.013972,0.377693
651,-1.013917,0.377826
652,-1.013862,0.377959
653,-1.013807,0.378092
654,-1.013753,0.378224
655,-1.013699,0.378356
656,-1.013646,0.378487
657,-1.013592,0.378618
658,-1.013539,0.378749
659,-1.013486,0.378879
660,-1.013434,0.379008
661,-1.013382,0.379138
662,-1.013330,0.379266
663,-1.013278,0.379395
664,-1.013226,0.379523
665,-1.013175,0.379650
666,-1.013124,0.379777
667,-1.013073,0.379904
668,-1.013023,0.380030
669,-1.012973,0.380156
670,-1.012923,0.380282
671,-1.012873,0.380407
672,-1.012824,0.380531
673,-1.012774,0.380656
674,-1.012725,0.380780
675,-1.012677,0.380903
676,-1.012628,0.381026
677,-1.012580,0.381149
678,-1.012532,0.381271
679,-1.012484,0.381393
680,-1.012437,0.381515
681,-1.012390,0.381636
682,-1.012343,0.381757
683,-1.012296,0.381877
684,-1.012249,0.381997
685,-1.012203,0.382117
686,-1.012157,0.382236
687,-1.012111,0.382355
688,-1.012065,0.382473
689,-1.012020,0.382591
690,-1.011975,0.382709
691,-1.011930,0.382827
692,-1.011885,0.382944
693,-1.011840,0.383060
694,-1.011796,0.383177
695,-1.011752,0.383293
696,-1.011708,0.383408
697,-1.011665,0.383524
698,-1.011621,0.383638
699,-1.011578,0.383753
700,-1.011535,0.383867
701,-1.011492,0.383981
702,-1.011449,0.384095
703,-1.011407,0.384208
704,-1.011365,0.384320
705,-1.011323,0.384433
706,-1.011281,0.384545
707,-1.011239,0.384657
708,-1.011198,0.384768
709,-1.011157,0.384879
710,-1.011116,0.384990
711,-1.011075,0.385101
712,-1.011034,0.385211
713,-1.010994,0.385321
714,-1.010954,0.385430
715,-1.010914,0.385539
716,-1.010874,0.385648
717,-1.010834,0.385757
718,-1.010795,0.385865
719,-1.010756,0.385973
720,-1.010717,0.386080
721,-1.010678,0.386187
722,-1.010639,0.386294
723,-1.010601,0.386401
724,-1.010562,0.386507
725,-1.010524,0.386613
726,-1.010486,0.386719
727,-1.010448,0.386824
728,-1.010411,0.386929
729,-1.010373,0.387034
730,-1.010336,0.387138
731,-1.010299,0.387242
732,-1.010262,0.387346
733,-1.010225,0.387449
734,-1.010189,0.387553
735,-1.010152,0.387655
736,-1.010116,0.387758
737,-1.010080,0.387860
738,-1.010044,0.387962
739,-1.010009,0.388064
740,-1.009973,0.388166
741,-1.009938,0.388267
742,-1.009902,0.388368
743,-1.009867,0.388468
744,-1.009832,0.388568
745,-1.009798,0.388668
746,-1.009763,0.388768
747,-1.009729,0.388867
748,-1.009695,0.388967
749,-1.009660,0.389065
750,-1.009626,0.389164
751,-1.009593,0.389262
752,-1.009559,0.389360
753,-1.009526,0.389458
754,-1.009492,0.389556
755,-1.009459,0.389653
756,-1.009426,0.389750
757,-1.009393,0.389846
758,-1.009361,0.389943
759,-1.009328,0.390039
760,-1.009296,0.390135
761,-1.009263,0.390230
762,-1.009231,0.390326
763,-1.009199,0.390421
764,-1.009167,0.390515
765,-1.009136,0.390610
766,-1.009104,0.390704
767,-1.009073,0.390798
768,-1.009042,0.390892
769,-1.009010,0.390985
770,-1.008979,0.391079
771,-1.008949,0.391172
772,-1.008918,0.391264
773,-1.008887,0.391357
774,-1.008857,0.391449
775,-1.008827,0.391541
776,-1.008797,0.391633
777,-1.008767,0.391724
778,-1.008737,0.391815
779,-1.008707,0.391906
780,-1.008677,0.391997
781,-1.008648,0.392087
782,-1.008618,0.392178
783,-1.008589,0.392268
784,-1.008560,0.392357
785,-1.008531,0.392447
786,-1.008502,0.392536
787,-1.008474,0.392625
788,-1.008445,0.392714
789,-1.008417,0.392803
790,-1.008388,0.392891
791,-1.008360,0.392979
792,-1.008332,0.393067
793,-1.008304,0.393154
794,-1.008276,0.393242
795,-1.008249,0.393329
796,-1.008221,0.393416
797,-1.008194,0.393503
798,-1.008166,0.393589
799,-1.008139,0.393675
800,-1.008112,0.393761
801,-1.008085,0.393847
802,-1.008058,0.393933
803,-1.008031,0.394018
804,-1.008005,0.394103
805,-1.007978,0.394188
806,-1.007952,0.394273
807,-1.007925,0.394357
808,-1.007899,0.394441
809,-1.007873,0.394525
810,-1.007847,0.394609
811,-1.007821,0.394693
812,-1.007796,0.394776
813,-1.007770,0.394859
814,-1.007745,0.394942
815,-1.007719,0.395025
816,-1.007694,0.395107
817,-1.007669,0.395189
818,-1.007644,0.395272
819,-1.007619,0.395353
820,-1.007594,0.395435
821,-1.007569,0.395517
822,-1.007544,0.395598
823,-1.007520,0.395679
824,-1.007495,0.395760
825,-1.007471,0.395840
826,-1.007447,0.395921
827,-1.007423,0.396001
828,-1.007399,0.396081
829,-1.007375,0.396161
830,-1.007351,0.396240
831,-1.007327,0.396320
832,-1.007304,0.396399
833,-1.007280,0.396478
834,-1.007257,0.396557
835,-1.007233,0.396635
836,-1.007210,0.396714
837,-1.007187,0.396792
838,-1.007164,0.396870
839,-1.007141,0.396948
840,-1.007118,0.397025
841,-1.007096,0.397103
842,-1.007073,0.397180
843,-1.007050,0.397257
844,-1.007028,0.397334
845,-1.007006,0.397411
846,-1.006983,0.397487
847,-1.006961,0.397564
848,-1.006939,0.397640
849,-1.006917,0.397716
